iter	Logloss
0	0.6619797012
1	0.6358205201
2	0.6145848706
3	0.5981652981
4	0.58506136
5	0.5738087584
6	0.5661995025
7	0.5573350998
8	0.5505825503
9	0.5457338859
10	0.540749672
11	0.5374996986
12	0.5330639697
13	0.5292696334
14	0.5269259554
15	0.5245809023
16	0.5214055778
17	0.5191141257
18	0.5171504262
19	0.5153428718
20	0.513867272
21	0.512220149
22	0.5111143019
23	0.5101308038
24	0.5086537785
25	0.5075552201
26	0.5063515104
27	0.5055854701
28	0.5049420905
29	0.5040456488
30	0.5032525433
31	0.5026474554
32	0.5020881829
33	0.5017710658
34	0.501011281
35	0.5005109112
36	0.5000299669
37	0.4995012534
38	0.4990422338
39	0.4986869275
40	0.4979733667
41	0.4973219733
42	0.4965437322
43	0.4960988335
44	0.4959316211
45	0.4957176395
46	0.4952815255
47	0.4949347596
48	0.4945121891
49	0.494100471
50	0.4938153784
51	0.4932036955
52	0.4930317193
53	0.4926224029
54	0.492317819
55	0.4919326902
56	0.4917987212
57	0.4916580271
58	0.4912801076
59	0.4910850504
60	0.4908175692
61	0.4906439786
62	0.4900697432
63	0.4897292284
64	0.4894102919
65	0.4892451055
66	0.4891106246
67	0.488798881
68	0.4884512348
69	0.4883291809
70	0.4881143003
71	0.4880165724
72	0.4878790982
73	0.4877049622
74	0.4872632863
75	0.4870522727
76	0.4869075068
77	0.4866702757
78	0.4863410473
79	0.4861612425
80	0.4860679393
81	0.4860660954
82	0.4858692863
83	0.4856542452
84	0.4855759626
85	0.4854593135
86	0.4853654199
87	0.4851728672
88	0.4848790356
89	0.48482965
90	0.4846605552
91	0.4845014294
92	0.484141901
93	0.4839082224
94	0.4837323038
95	0.4836214566
96	0.4834421266
97	0.4832808489
98	0.4831392074
99	0.4829712848
100	0.4827923258
101	0.482694551
102	0.4825000163
103	0.4822539316
104	0.4821474544
105	0.4819656283
106	0.4816780606
107	0.4814417034
108	0.4811630653
109	0.4809772742
110	0.4806796141
111	0.4805128827
112	0.480371725
113	0.4801687437
114	0.4799538327
115	0.4798053351
116	0.4795462784
117	0.4793806972
118	0.4791388839
119	0.4790094986
120	0.478804039
121	0.4785879753
122	0.4784490802
123	0.4783001231
124	0.4780852891
125	0.477859233
126	0.4776798679
127	0.4775002686
128	0.4772964921
129	0.4770454742
130	0.4769241994
131	0.476723214
132	0.4765863163
133	0.4764616052
134	0.4763134783
135	0.4761371775
136	0.4759801448
137	0.4758232845
138	0.4757416107
139	0.4754910884
140	0.4752492551
141	0.4750546604
142	0.474865318
143	0.4746964726
144	0.4744287388
145	0.4743194213
146	0.4741556928
147	0.4739047332
148	0.473722068
149	0.4735387726
150	0.4733525607
151	0.4731983036
152	0.473078404
153	0.4728980935
154	0.4727030058
155	0.4726243075
156	0.4724753683
157	0.472347962
158	0.4722271656
159	0.4721149798
160	0.4719302777
161	0.471725633
162	0.4715391995
163	0.4713811642
164	0.4712440494
165	0.471097486
166	0.4709828764
167	0.4708329896
168	0.4707614258
169	0.4706190698
170	0.47049738
171	0.4704227258
172	0.4703210935
173	0.4701763344
174	0.4700048121
175	0.4698151229
176	0.4696852056
177	0.4695321014
178	0.4694065554
179	0.4692068555
180	0.468987815
181	0.4687800951
182	0.4686288193
183	0.468493194
184	0.4683885869
185	0.4681877225
186	0.4680392798
187	0.4678756032
188	0.4677768544
189	0.4676380511
190	0.4675666382
191	0.4674391046
192	0.4673294166
193	0.4671828958
194	0.4670421657
195	0.4669650896
196	0.4668194695
197	0.4667059544
198	0.4663501744
199	0.46626811
200	0.4661669188
201	0.4660787267
202	0.4659983107
203	0.4658831723
204	0.4657086065
205	0.465694383
206	0.4655491505
207	0.4654084197
208	0.4653244467
209	0.4651969541
210	0.4651081205
211	0.4648230259
212	0.4648080262
213	0.4647036265
214	0.464573555
215	0.4644535011
216	0.4643397794
217	0.464232689
218	0.4641363805
219	0.4639894986
220	0.4638833132
221	0.4637782303
222	0.4636910075
223	0.4635850353
224	0.4634380576
225	0.4632928471
226	0.4631999354
227	0.4631013841
228	0.4630937193
229	0.4629427193
230	0.4628282348
231	0.4627235836
232	0.4626313548
233	0.4625721056
234	0.4624567292
235	0.4623366575
236	0.4621945825
237	0.4621135347
238	0.4620107119
239	0.4619247626
240	0.4618411752
241	0.4617534662
242	0.4615965525
243	0.4614816416
244	0.461387472
245	0.4613375535
246	0.4611922131
247	0.4611084904
248	0.4610394921
249	0.4610238446
250	0.4609118849
251	0.4607438069
252	0.4606628524
253	0.4605416202
254	0.4604340719
255	0.4603110777
256	0.4602116053
257	0.4601093442
258	0.4600410086
259	0.4599746839
260	0.4597949056
261	0.4597156215
262	0.4596250541
263	0.4595441026
264	0.4594172637
265	0.4593617514
266	0.459150498
267	0.4590055018
268	0.4589140776
269	0.4588027987
270	0.4587792436
271	0.4586930628
272	0.458611889
273	0.45850603
274	0.4584311573
275	0.4583572349
276	0.4583445565
277	0.4582877781
278	0.4582213143
279	0.4581226485
280	0.4580258466
281	0.4579476277
282	0.4578075548
283	0.4576915797
284	0.4576123818
285	0.4574776332
286	0.457324537
287	0.457220095
288	0.4572147144
289	0.4570967066
290	0.4569523415
291	0.4568754581
292	0.4567786309
293	0.4566589656
294	0.4565466063
295	0.4564566136
296	0.4564019137
297	0.4563131225
298	0.4562373187
299	0.4561625277
