iter	Passed	Remaining
0	18	5584
1	36	5375
2	51	5127
3	76	5672
4	96	5709
5	107	5279
6	118	4948
7	126	4617
8	136	4408
9	146	4241
10	155	4094
11	165	3966
12	174	3844
13	183	3751
14	193	3668
15	202	3592
16	211	3514
17	220	3457
18	230	3403
19	239	3355
20	249	3314
21	259	3274
22	268	3236
23	278	3201
24	287	3164
25	297	3132
26	306	3103
27	316	3072
28	325	3043
29	335	3023
30	347	3018
31	357	2991
32	366	2966
33	376	2941
34	385	2921
35	396	2909
36	408	2905
37	419	2895
38	430	2880
39	440	2862
40	448	2833
41	458	2815
42	467	2795
43	478	2782
44	488	2765
45	497	2746
46	506	2727
47	517	2714
48	526	2694
49	535	2677
50	544	2656
51	554	2642
52	563	2624
53	572	2608
54	582	2593
55	590	2574
56	599	2556
57	608	2538
58	617	2521
59	626	2504
60	635	2489
61	644	2474
62	653	2457
63	662	2443
64	671	2427
65	680	2410
66	687	2389
67	695	2374
68	704	2359
69	713	2344
70	724	2335
71	732	2320
72	741	2306
73	751	2296
74	760	2281
75	770	2271
76	779	2257
77	787	2242
78	797	2231
79	807	2219
80	816	2206
81	822	2186
82	831	2174
83	840	2162
84	849	2149
85	859	2139
86	868	2126
87	877	2114
88	886	2102
89	896	2091
90	905	2080
91	915	2069
92	925	2058
93	934	2048
94	944	2038
95	954	2028
96	964	2017
97	974	2007
98	983	1997
99	993	1987
100	1003	1976
101	1012	1965
102	1020	1952
103	1030	1941
104	1039	1930
105	1048	1919
106	1058	1909
107	1067	1898
108	1076	1886
109	1085	1875
110	1099	1871
111	1110	1863
112	1119	1851
113	1127	1840
114	1136	1829
115	1145	1817
116	1153	1804
117	1162	1793
118	1171	1781
119	1180	1770
120	1189	1759
121	1198	1748
122	1206	1736
123	1215	1725
124	1225	1715
125	1234	1704
126	1243	1693
127	1252	1683
128	1261	1672
129	1270	1661
130	1279	1650
131	1288	1639
132	1297	1628
133	1305	1617
134	1314	1607
135	1324	1596
136	1332	1585
137	1341	1575
138	1350	1564
139	1359	1553
140	1368	1542
141	1377	1532
142	1386	1522
143	1396	1513
144	1406	1503
145	1417	1495
146	1428	1486
147	1438	1477
148	1447	1466
149	1457	1457
150	1467	1447
151	1476	1437
152	1486	1427
153	1495	1418
154	1505	1407
155	1514	1397
156	1523	1387
157	1532	1377
158	1541	1367
159	1550	1356
160	1559	1346
161	1568	1336
162	1577	1326
163	1586	1315
164	1595	1305
165	1604	1294
166	1613	1284
167	1622	1274
168	1632	1265
169	1641	1255
170	1650	1244
171	1659	1234
172	1667	1224
173	1677	1215
174	1687	1205
175	1700	1197
176	1711	1189
177	1722	1180
178	1734	1172
179	1742	1161
180	1752	1152
181	1762	1142
182	1772	1133
183	1782	1123
184	1791	1113
185	1800	1103
186	1809	1093
187	1817	1083
188	1826	1072
189	1836	1063
190	1846	1053
191	1855	1043
192	1864	1033
193	1873	1023
194	1882	1013
195	1893	1004
196	1902	994
197	1911	984
198	1921	975
199	1930	965
200	1940	955
201	1949	945
202	1958	935
203	1967	926
204	1976	916
205	1985	906
206	1995	896
207	2004	886
208	2013	876
209	2022	866
210	2032	857
211	2042	847
212	2051	837
213	2060	828
214	2069	818
215	2078	808
216	2087	798
217	2096	788
218	2105	778
219	2114	768
220	2124	759
221	2132	749
222	2141	739
223	2150	729
224	2159	719
225	2169	710
226	2178	700
227	2186	690
228	2195	680
229	2204	670
230	2213	661
231	2222	651
232	2231	641
233	2240	632
234	2250	622
235	2258	612
236	2268	602
237	2278	593
238	2287	583
239	2296	574
240	2305	564
241	2314	554
242	2322	544
243	2331	535
244	2341	525
245	2351	516
246	2362	506
247	2372	497
248	2382	487
249	2391	478
250	2400	468
251	2409	458
252	2419	449
253	2428	439
254	2437	430
255	2447	420
256	2456	411
257	2465	401
258	2474	391
259	2483	382
260	2492	372
261	2501	362
262	2509	353
263	2518	343
264	2528	333
265	2536	324
266	2546	314
267	2555	305
268	2564	295
269	2573	285
270	2582	276
271	2591	266
272	2600	257
273	2609	247
274	2618	238
275	2627	228
276	2636	218
277	2645	209
278	2654	199
279	2663	190
280	2673	180
281	2682	171
282	2690	161
283	2700	152
284	2709	142
285	2718	133
286	2728	123
287	2736	114
288	2744	104
289	2753	94
290	2762	85
291	2771	75
292	2780	66
293	2789	56
294	2798	47
295	2808	37
296	2816	28
297	2825	18
298	2834	9
299	2844	0
